номер,название,вес,объем,бренд,цена,кол-во
487500M010,SCHALTER,0.046,0.21,nissan,4381.95,1
490018H92B,SERVOLENKUNG,9.658,20.0,nissan,89007.43,1
49262Y0100,O-RING,0.001,0.003,nissan,937.7,1
4927732J10,REP-SATZ,0.003,0.009,nissan,1702.48,1
4934511G25,REP-SATZ,0.002,0.006,nissan,1160.92,1
4934555G26,REP-SATZ,0.006,0.015,nissan,3178.58,1
4936955G01,KAPPE,0.008,0.035,nissan,1702.48,1
49373M7270,DECKEL,0.009,0.024,nissan,929.05,1
497172Y900,SCHLAUCH,0.255,1.16,nissan,6607.9,1
4972001J63,SCHLAUCH,0.538,1.467,nissan,9454.01,1
49720WL000,LEITUNG,0.561,1.53,nissan,34716.83,1
4972501J62,SCHLAUCH,0.061,0.275,nissan,2069.54,1
4972501J63,SCHLAUCH,0.102,0.465,nissan,3093.7,1
497251Y100,SCHLAUCH,0.089,0.405,nissan,3803.45,1
497255M520,SCHLAUCH,0.059,0.27,nissan,2051.46,1
497257S006,SCHLAUCH,0.086,0.39,nissan,2321.84,1
497259Y010,SCHLAUCH,0.063,0.285,nissan,3932.36,1
49725CA010,SCHLAUCH,0.125,0.57,nissan,3932.36,1
49725VC502,SCHLAUCH,0.056,0.255,nissan,3932.36,1
49761V5400,SCHALTER,0.066,0.3,nissan,7612.41,1
497904W00A,LEITUNG,0.293,15.0,nissan,12966.64,1
497909FD0A,OELKUEHLER,0.425,9.0,nissan,9844.65,1
501307S000,QUERTRAEGER,2.97,10.8,nissan,12061.17,1
5101031G00,TRAVERSE,3.764,13.688,nissan,29357.1,1
54034AG001,UNTERLAGE,0.191,0.522,nissan,2595.37,1
54330ED000,KAPPE,0.018,0.048,nissan,1054.03,1
54617C7600,BUCHSE,0.055,15.0,nissan,648.45,1
550312Y000,STANGE,0.009,0.024,nissan,1076.82,1
55034VB010,UNTERLAGE,0.143,0.39,nissan,1784.22,1
5503641G00,UNTERLAGE,0.037,0.102,nissan,2595.37,1
550367S000,BUCHSE,0.295,0.804,nissan,3874.19,1
5504001R00,BUCHSE,1.716,4.68,nissan,10705.32,1
55400JD60A,ACHSTRAEGER,20.24,50.0,nissan,65557.12,1
555012L702,QUERLENKER,28.05,50.0,nissan,83442.55,1
620221LK0H,STOSSSTANGE,7.153,25.0,nissan,33770.49,1
620221LR1H,STOSSSTANGE,5.951,25.0,nissan,33770.49,1
620221V82H,STOSSSTANGE,6.028,25.0,nissan,33770.49,1
620224GD0H,STOSSSTANGE,4.554,25.0,nissan,30511.73,1
62022ED025,STOSSSTANGE,4.565,25.0,nissan,21175.63,1
62022JB100,STOSSSTANGE,5.94,25.0,nissan,22588.07,1
620233GY0A,Abdeckung,0.034,0.093,nissan,340.34,1
6202409G00,STOSSECKE,0.528,2.4,nissan,2330.49,1
62024VB000,STOSSECKE,1.65,7.5,nissan,16039.9,1
62025JS54A,STOSSFAENGER,4.873,25.0,nissan,7136.88,1
6203045L30,VERSTAERKUNG,8.91,32.4,nissan,14265.9,1
6203061A31,VERSTAERKUNG,8.25,30.0,nissan,10267.52,1
620308J000,VERSTAERKUNG,4.576,10.0,nissan,9473.66,1
62030CA000,VERSTAERKUNG,4.744,10.0,nissan,22669.81,1
62030R8000,STOSSECKE,0.132,0.48,nissan,3242.25,1
620421CA0A,HALTER,0.021,0.057,nissan,1497.33,1
62042EA001,HALTER,0.04,0.108,nissan,3605.38,1
6204401E00,ZIERLEISTE,0.011,0.05,nissan,942.41,1
6204501E00,ZIERLEISTE,0.011,0.03,nissan,942.41,1
620581CA0A,HALTER,0.205,0.558,nissan,9285.8,1
620583TA0A,STOSSECKE,0.138,0.375,nissan,2178.79,1
620584GA0A,HALTER,0.127,0.345,nissan,1505.98,1
62058JK000,HALTER,0.09,0.246,nissan,5270.13,1
620593TA0A,Halter,0.135,0.369,nissan,2178.79,1
62059JL00A,HALTER,0.053,0.144,nissan,3095.27,1
620622S400,HALTER,0.142,0.387,nissan,1985.44,1
62064CA00A,VERSTAERKUNG,0.81,3.68,nissan,4856.69,1
62065CA00A,STOSSGUMMI,0.751,25.0,nissan,4856.69,1
6206901N02,STOSSECKE,0.297,7.0,nissan,4203.53,1
62069VD200,STOSSECKE,0.591,25.0,nissan,3088.98,1
620708J100,ZIERLEISTE,2.497,10.0,nissan,17069.56,1
62070AM800,KUEHLERGRILL,2.002,10.0,nissan,20597.13,1
620744M540,ZIERLEISTE,0.173,0.785,nissan,1196.29,1
6207521L03,ZIERLEISTE,0.396,1.8,nissan,7068.5,1
620753KA0A,Zierleiste,0.329,1.495,nissan,9270.87,1
620754M540,ZIERLEISTE,0.173,0.785,nissan,1196.29,1
6207621L03,ZIERLEISTE,0.154,0.7,nissan,5628.55,1
620861GR0H,ABDECKUNG,0.018,0.048,nissan,1891.9,1
62087CA000,ZIERLEISTE,0.041,0.185,nissan,1088.61,1
62087CC20A,ZIERLEISTE,0.035,0.096,nissan,1088.61,1
62090EM00A,STOSSDAEMPFER,0.426,1.5,nissan,6115.08,1
62090ZX00A,STOSSDAEMPFER,0.737,1.5,nissan,3605.38,1
62094JK00A,DIST-SCHEIBE,0.002,0.006,nissan,817.44,1
62094VC200,HALTER,0.039,0.175,nissan,749.06,1
622156GW0A,HALTER,0.237,0.645,nissan,4106.85,1
622200E700,HALTER,0.11,0.5,nissan,1326.77,1
622203TA0A,Halter,0.045,0.123,nissan,749.06,1
6222045L00,HALTER,0.132,0.6,nissan,1187.65,1
6222085E00,HALTER,0.088,0.4,nissan,855.17,1
622210E700,HALTER,0.11,0.5,nissan,1326.77,1
6222145L00,HALTER,0.132,0.6,nissan,1187.65,1
6222185E00,HALTER,0.088,0.4,nissan,855.17,1
622221EA0B,HALTER,0.094,0.255,nissan,1429.73,1
62222BA60A,HALTER,0.141,0.384,nissan,1021.8,1
62222EA500,HALTER,0.132,0.36,nissan,1292.97,1
62222EA510,HALTER,0.658,2.99,nissan,3163.65,1
62222JG000,HALTER,0.036,0.099,nissan,1497.33,1
622234CL0A,HALTER,0.09,0.246,nissan,2042.03,1
62223BR00A,HALTER,0.046,0.126,nissan,544.7,1
62223EA500,HALTER,0.131,0.357,nissan,1292.97,1
62223EA510,HALTER,0.648,25.0,nissan,1271.75,1
62224CG000,HALTER,0.007,0.018,nissan,817.44,1
62224JG000,HALTER,0.007,0.018,nissan,1429.73,1
622251HA0A,HALTER,0.039,0.105,nissan,272.74,1
6222521P01,HALTER,0.143,0.39,nissan,1234.81,1
62225CG000,HALTER,0.006,0.015,nissan,817.44,1
62225EM30A,HALTER,0.022,0.06,nissan,1021.8,1
622273KA1A,Halter,0.068,0.186,nissan,3063.04,1
622281MA0A,KLAMMER,0.116,0.315,nissan,1692.26,1
622284GA0A,KLAMMER,0.197,0.537,nissan,1579.07,1
62228CA000,KLAMMER,0.034,0.093,nissan,257.81,1
62228EA000,KLAMMER,0.05,0.135,nissan,1546.85,1
622310W000,HALTER,0.023,0.063,nissan,1546.85,1
62240EQ000,HALTER,1.069,10.0,nissan,16774.81,1
622562W100,BLENDE,0.244,10.0,nissan,1913.12,1
622562W500,BLENDE,0.182,7.0,nissan,1913.12,1
622563KA0A,VERKLEIDUNG,0.099,0.45,nissan,3955.15,1
622563Y500,BLENDE,0.737,3.35,nissan,1913.12,1
622565AA0A,Verkleidung,0.13,25.0,nissan,1497.33,1
6225661A02,BLENDE,0.201,0.915,nissan,4540.72,1
6225665A00,BLENDE,0.11,0.5,nissan,4495.92,1
62256BM474,BLENDE,0.109,7.0,nissan,1497.33,1
62256CA00A,BLENDE,0.601,25.0,nissan,3384.52,1
62256CC00A,BLENDE,0.064,0.174,nissan,2059.32,1
62256CC20B,BLENDE,0.099,7.0,nissan,5363.66,1
62256EA500,BLENDE,0.11,0.3,nissan,2825.67,1
62256EM30A,BLENDE,0.129,7.0,nissan,1225.37,1
62256JL10B,VERKLEIDUNG,0.312,7.0,nissan,2133.2,1
622572W500,BLENDE,0.179,7.0,nissan,2792.66,1
622573Y500,BLENDE,0.18,0.492,nissan,5224.54,1
6225761A02,BLENDE,0.121,0.55,nissan,4540.72,1
6225765A00,BLENDE,0.113,0.515,nissan,4495.92,1
622577S200,BLENDE,0.111,0.303,nissan,1497.33,1
6225783A00,BLENDE,0.039,0.175,nissan,1230.88,1
622578J000,BLENDE,0.056,7.0,nissan,3162.08,1
62257CC20B,BLENDE,0.098,7.0,nissan,5363.66,1
62257EB300,BLENDE,0.105,7.0,nissan,3199.81,1
6228481F00,STOPFEN,0.002,0.006,nissan,257.81,1
62284CA000,STOPFEN,0.03,0.081,nissan,516.4,1
622954KJ0A,HALTER,0.506,1.38,nissan,7528.31,1
622A06FV0H,Abdeckung,0.107,0.291,nissan,1891.9,1
622A09NC1A,Abdeckung,0.021,0.057,nissan,2579.65,1
6230095F0A,KUEHLERGRILL,2.642,10.0,nissan,9669.37,1
623101AA0A,KUEHLERGRILL,3.673,10.0,nissan,23206.65,1
623103UB0A,KUEHLERGRILL,2.112,10.0,nissan,16116.14,1
623106FR0D,Grill,2.97,10.0,nissan,16116.14,1
62310JN00A,KUEHLERGRILL,3.106,10.0,nissan,19260.14,1
6231815G00,KLAMMER,0.002,0.006,nissan,602.08,1
6235001M00,KLAMMER,0.006,0.015,nissan,859.88,1
62411R8001,BLENDE,0.286,1.3,nissan,4418.11,1
62414W1000,ZIERLEISTE,0.066,0.3,nissan,2164.64,1
62415W1000,ZIERLEISTE,0.066,0.3,nissan,2164.64,1
625000W700,FRONTRAHMEN,7.7,28.0,nissan,23910.91,1
62501JK05A,BLECH,7.264,30.0,nissan,18394.76,1
625102J030,STREBE,5.83,21.2,nissan,14605.45,1
62511EL030,STREBE,1.383,5.028,nissan,18570.82,1
62521AX630,BLECH,2.09,5.0,nissan,1702.48,1
625641BA0A,HALTER,0.112,0.306,nissan,6106.43,1
6265165Y00,FRONTBLECH,0.748,5.0,nissan,3751.58,1
6265175A00,FRONTBLECH,0.88,5.0,nissan,4680.63,1
626852S400,FUEHRUNG,0.363,1.65,nissan,7278.36,1
62822EE900,BLECH,0.186,0.845,nissan,3352.29,1
62840U7400,ANSCHLAG,0.011,0.03,nissan,499.11,1
6289031U00,EMBLEM,0.029,0.078,nissan,1955.57,1
6289043U00,EMBLEM,0.029,0.078,nissan,3346.0,1
6289047U00,EMBLEM,0.029,0.078,nissan,1955.57,1
628904BA0A,EMBLEM,0.054,0.147,nissan,5688.28,1
6289085E00,EMBLEM,0.011,0.03,nissan,2541.14,1
628908N700,EMBLEM,0.031,0.084,nissan,4098.99,1
628909F500,EMBLEM,0.021,0.057,nissan,3019.03,1
62890EM30A,EMBLEM,0.031,0.084,nissan,4644.47,1
6289217N00,EMBLEM,0.028,0.075,nissan,3058.33,1
6289751L00,EMBLEM,0.033,0.09,nissan,2719.56,1
631000X032,KOTFLUEGEL,4.4,45.0,nissan,19554.11,1
631003W730,KOTFLUEGEL,4.785,45.0,nissan,19423.63,1
631005Y135,KOTFLUEGEL,4.807,45.0,nissan,18323.23,1
6310085E30,KOTFLUEGEL,3.96,65.0,nissan,18218.69,1
631009F531,KOTFLUEGEL,3.201,45.0,nissan,10815.36,1
631015Y135,KOTFLUEGEL,5.005,45.0,nissan,18323.23,1
6310160M37,KOTFLUEGEL,2.53,45.0,nissan,29647.13,1
631016N630,KOTFLUEGEL,5.137,45.0,nissan,10815.36,1
631128J030,KOTFLUEGEL,4.103,45.0,nissan,18211.62,1
63112VK000,KOTFLUEGEL,4.917,45.0,nissan,18761.82,1
63113CA030,KOTFLUEGEL,4.546,45.0,nissan,21188.99,1
63122JD00A,VERSTAERKUNG,0.047,0.129,nissan,3871.05,1
63132JL01A,BLECH,0.04,0.108,nissan,1719.77,1
6381306J00,VERBREITERUNG,1.287,10.0,nissan,15796.24,1
63816V0100,ZIERLEISTE,0.022,0.1,nissan,2352.5,1
63827VB000,HALTER,0.015,0.042,nissan,1891.9,1
63833JK50A,BLECH,0.076,0.345,nissan,1375.5,1
638394M700,ABDECKUNG,0.046,0.126,nissan,1800.73,1
6383951U00,ABDECKUNG,0.043,0.117,nissan,2751.79,1
6384040U20,ABDECKUNG,0.678,10.0,nissan,6209.4,1
63840EA200,ABDECKUNG,1.98,10.0,nissan,6474.28,1
638415ZT0A,ABDECKUNG,1.848,10.0,nissan,11264.95,1
638416N600,ABDECKUNG,0.649,10.0,nissan,8869.22,1
63841EA200,ABDECKUNG,1.925,10.0,nissan,8300.95,1
63841JG30B,ABDECKUNG,1.023,10.0,nissan,7893.8,1
63841ZX00A,Abdeckung,1.054,10.0,nissan,10499.39,1
638420F010,ABDECKUNG,0.448,10.0,nissan,5409.25,1
638422W100,ABDECKUNG,0.347,10.0,nissan,4013.32,1
6384262B0A,ABDECKUNG,0.737,10.0,nissan,5943.73,1
63842EY10A,ABDECKUNG,1.169,10.0,nissan,7804.19,1
63842JK000,ABDECKUNG,0.561,10.0,nissan,5233.19,1
638431BA0A,ABDECKUNG,0.55,10.0,nissan,3192.73,1
638432W100,ABDECKUNG,0.307,10.0,nissan,3224.96,1
638433NA0A,ABDECKUNG,1.045,10.0,nissan,8425.13,1
6384390J00,ABDECKUNG,0.385,10.0,nissan,4523.43,1
638439F500,ABDECKUNG,1.1,10.0,nissan,1887.19,1
63843CA000,ABDECKUNG,0.348,10.0,nissan,5676.49,1
63843JD00A,ABDECKUNG,1.023,10.0,nissan,6899.51,1
6384401L00,ABDECKUNG,0.055,0.15,nissan,1030.45,1
638441BA0A,ABDECKUNG,0.77,10.0,nissan,3724.07,1
63844CG000,ABDECKUNG,0.99,10.0,nissan,6119.8,1
638450W000,ABDECKUNG,0.34,10.0,nissan,6297.43,1
63845CG000,ABDECKUNG,0.953,10.0,nissan,5943.73,1
6384801G00,KLAMMER,0.001,0.003,nissan,257.81,1
63848VD220,KLAMMER,0.004,0.012,nissan,343.48,1
63848VD300,KLAMMER,0.011,0.03,nissan,343.48,1
6385401A00,KLAMMER,0.001,0.003,nissan,309.68,1
6386115G00,ZIERLEISTE,0.165,10.0,nissan,7078.72,1
6387110W00,ZIERLEISTE,0.275,0.75,nissan,6868.85,1
6387201A23,ZIERLEISTE,0.077,0.35,nissan,1190.79,1
6387306E00,ZIERLEISTE,0.088,0.4,nissan,2015.3,1
6387461Y00,ZIERLEISTE,0.088,0.24,nissan,3932.36,1
6387501A22,ZIERLEISTE,0.022,0.2,nissan,1190.79,1
6387528E10,ZIERLEISTE,0.028,0.25,nissan,1568.86,1
6387550Y00,ZIERLEISTE,0.055,0.5,nissan,1946.14,1
6387561Y02,ZIERLEISTE,0.088,0.8,nissan,2918.42,1
6388001G01,ABDECKUNG,0.385,10.0,nissan,5055.55,1
63880VB001,DICHTGUMMI,0.045,0.123,nissan,4418.89,1
63880VD210,DICHTGUMMI,0.036,0.099,nissan,5076.77,1
63880VD214,DICHTGUMMI,0.041,0.111,nissan,6133.16,1
63881VD200,DICHTGUMMI,0.039,0.105,nissan,5668.63,1
63881VD210,DICHTGUMMI,0.043,0.117,nissan,5027.26,1
638A12Y000,ISOLIERUNG,0.022,0.06,nissan,2894.05,1
64100VK000,RADHAUS,6.006,50.0,nissan,32374.55,1
641012Y930,RADHAUS,4.928,50.0,nissan,25654.25,1
648383Z800,ABDECKUNG,0.25,8.0,nissan,1375.5,1
648389F000,ABDECKUNG,0.151,15.0,nissan,687.75,1
64899VK600,ABDECKUNG,0.001,0.005,nissan,516.4,1
653783JA0A,ABDECKUNG,0.056,0.255,nissan,1891.9,1
65450JK000,ABDECKUNG,0.044,0.2,nissan,1719.77,1
658100E020,DICHTGUMMI,0.065,0.177,nissan,1819.59,1
658101BA0A,DICHTGUMMI,0.056,0.153,nissan,4041.61,1
6581085E00,DICHTGUMMI,0.07,0.192,nissan,1819.59,1
65810JK000,DICHTGUMMI,0.046,0.126,nissan,3868.69,1
6581140U00,DICHTGUMMI,0.029,0.078,nissan,1127.12,1
6581188E00,ABDECKUNG,0.044,0.12,nissan,1840.81,1
658203TA0C,Dichtung,0.16,0.435,nissan,5203.32,1
658204GA0A,DICHTGUMMI,0.22,0.6,nissan,3437.96,1
658206GW0A,DICHTGUMMI,0.158,0.432,nissan,4367.02,1
6582151U00,DICHTGUMMI,0.045,0.123,nissan,1179.79,1
658219HS0A,DICHTUNG,0.605,1.65,nissan,6504.94,1
6582350A00,ZIERLEISTE,0.055,0.15,nissan,1538.2,1
6582375A10,ZIERLEISTE,0.055,0.15,nissan,1538.2,1
658402Y010,ISOLIERUNG,3.058,13.9,nissan,8763.9,1
65840VC200,ISOLIERUNG,2.42,20.0,nissan,11195.0,1
663021CA0B,LUFTKASTEN,0.924,3.36,nissan,11985.71,1
66510T6011,GITTER,0.109,10.0,nissan,1162.49,1
668102Y915,GITTER,0.825,3.75,nissan,6317.87,1
668103S100,GITTER,0.495,2.25,nissan,6525.37,1
66812VD300,GITTER,2.035,7.4,nissan,6666.07,1
6682001J00,KAPPE,0.001,0.003,nissan,90.39,1
6686001W01,KLAMMER,0.001,0.003,nissan,257.81,1
668632M120,ABDECKUNG,0.385,10.0,nissan,3178.58,1
668941JA0A,ABDECKUNG,0.055,0.15,nissan,1805.44,1
668954M700,ABDECKUNG,0.052,0.141,nissan,4552.51,1
66919H1001,KLAMMER,0.001,0.003,nissan,231.87,1
681064W300,ABDECKUNG,1.882,6.844,nissan,18749.24,1
684102Y910,ABDECKUNG,0.022,0.1,nissan,4299.42,1
6874141L00,LUFTDUESE,0.022,0.06,nissan,896.83,1
687418F200,LUFTDUESE,0.022,0.06,nissan,1625.45,1
6875013E00,LUFTDUESE,0.165,10.0,nissan,5232.4,1
68750CG000,LUEFTER,0.165,0.75,nissan,7061.42,1
6876013E00,LUFTDUESE,0.143,10.0,nissan,5232.4,1
6876085E00,LUFTDUESE,0.176,10.0,nissan,4073.05,1
6876085E02,LUFTDUESE,0.176,10.0,nissan,4073.05,1
6876513E00,LUFTDUESE,0.1,10.0,nissan,6260.49,1
68930EQ51A,ABDECKUNG,0.257,1.17,nissan,3868.69,1
6896051E03,STOPFEN,0.007,0.018,nissan,609.15,1
689608H900,STOPFEN,0.01,0.027,nissan,1891.9,1
727140P005,ABSTAND,0.003,0.009,nissan,773.42,1
727144M400,ABSTAND,0.002,0.006,nissan,859.88,1
72714EL00B,ABSTAND,0.007,0.018,nissan,3868.69,1
7271551S00,HALTER,0.002,0.006,nissan,281.39,1
7272561Y00,KLAMMER,0.022,0.06,nissan,2579.65,1
72725W1001,DICHTGUMMI,0.055,0.15,nissan,2383.15,1
72772V6200,ZIERLEISTE,0.825,7.5,nissan,5519.29,1
7279640U10,KLAMMER,0.009,0.024,nissan,687.75,1
727964M410,KLAMMER,0.004,0.012,nissan,267.24,1
73830CG710,KAPPE,0.218,0.99,nissan,5296.07,1
738318H70A,KAPPE,0.143,0.39,nissan,2751.79,1
7386001M20,SCHARNIER,0.053,0.144,nissan,2026.31,1
73860JA000,ZIERLEISTE,0.058,0.159,nissan,2973.44,1
7387313A01,DICHTGUMMI,0.147,0.402,nissan,3531.5,1
738845V000,STOPFEN,0.003,0.009,nissan,859.88,1
7399660U10,KLAMMER,0.004,0.012,nissan,257.81,1
73998VB006,KLAMMER,0.008,0.021,nissan,516.4,1
745145M030,BODENBLECH,6.6,100.0,nissan,35333.06,1
74812CG000,ABDECKUNG,0.627,15.0,nissan,10377.56,1
74813CG000,ABDECKUNG,0.622,15.0,nissan,9312.53,1
74890VB000,ABDECKUNG,0.387,1.76,nissan,1891.9,1
749602S700,MANSCHETTE,1.46,5.308,nissan,7024.48,1
758906CA0A,ABDECKUNG,1.147,5.215,nissan,18305.15,1
75892CD00A,ABDECKUNG,1.375,15.0,nissan,17915.3,1
75892EL000,ABDECKUNG,0.504,15.0,nissan,16851.05,1
758934M420,ABDECKUNG,0.429,15.0,nissan,8958.83,1
75893AL500,ABDECKUNG,0.039,15.0,nissan,3813.67,1
758944M420,ABDECKUNG,0.446,15.0,nissan,8779.62,1
75896AV600,ABDECKUNG,0.274,15.0,nissan,1641.17,1
7589950A10,ABDECKUNG,0.132,15.0,nissan,1353.49,1
76214VB000,VERSTAERKUNG,3.795,13.8,nissan,16730.8,1
767467S600,ABDECKUNG,0.196,8.0,nissan,1375.5,1
767477S600,ABDECKUNG,0.168,8.0,nissan,1375.5,1
7680450Y00,ABDECKUNG,0.061,0.275,nissan,3259.54,1
768050M000,ABDECKUNG,0.201,0.915,nissan,3585.73,1
7680550Y00,ABDECKUNG,0.083,10.0,nissan,3259.54,1
7681357A00,ZIERLEISTE,0.165,0.75,nissan,3852.19,1
7683201L02,DICHTGUMMI,0.506,1.38,nissan,3496.91,1
76832C6600,DICHTGUMMI,1.472,4.014,nissan,8548.54,1
768432S700,DICHTGUMMI,0.109,0.297,nissan,3622.67,1
768432Y06A,DICHTGUMMI,0.596,1.626,nissan,3622.67,1
76845VB000,KAPPE,0.009,0.04,nissan,429.94,1
768471BA2A,KLAMMER,0.002,0.006,nissan,257.81,1
76847JG00A,KLAMMER,0.002,0.006,nissan,257.81,1
76847VB000,KLAMMER,0.001,0.003,nissan,257.81,1
768486P020,STOPFEN,0.003,0.009,nissan,343.48,1
76848ED000,STOPFEN,0.002,0.006,nissan,343.48,1
76848VB000,STOPFEN,0.003,0.009,nissan,343.48,1
76851JN23D,DICHTGUMMI,3.3,15.0,nissan,10189.7,1
7685261Y00,VERBREITERUNG,1.232,3.36,nissan,18715.45,1
7685661Y00,VERBREITERUNG,0.561,2.04,nissan,11438.66,1
768810W000,BUCHSE,0.002,0.006,nissan,231.87,1
768820M000,KLAMMER,0.003,0.009,nissan,257.81,1
768820M060,KLAMMER,0.002,0.006,nissan,541.55,1
768829Y000,KLAMMER,0.002,0.006,nissan,429.94,1
76882D4001,KLAMMER,0.002,0.006,nissan,602.08,1
76899CG000,BLENDE,0.165,15.0,nissan,2306.91,1
76921CA011,DICHTGUMMI,0.913,2.49,nissan,5724.44,1
76922CA012,DICHTGUMMI,0.892,2.433,nissan,14101.63,1
76922VD200,DICHTGUMMI,0.825,2.25,nissan,6074.21,1
76922VD205,DICHTGUMMI,0.831,2.265,nissan,12240.38,1
7692385E02,DICHTGUMMI,0.583,1.59,nissan,5368.38,1
769518H301,VERKLEIDUNG,0.185,15.0,nissan,4358.37,1
769528H301,VERKLEIDUNG,0.19,15.0,nissan,5760.59,1
769B04M401,VERKLEIDUNG,0.075,15.0,nissan,3232.03,1
769B41LZ0A,Verkleidung,0.317,1.44,nissan,10406.64,1
77008AX60A,ENTLUEFTUNG,0.076,0.345,nissan,945.56,1
781354M500,BLECH,0.469,1.704,nissan,7528.31,1
78140AM800,BLECH,0.649,2.36,nissan,4183.88,1
7881861Y00,ABDECKUNG,0.044,0.2,nissan,790.72,1
78818EL000,ABDECKUNG,0.144,10.0,nissan,1891.9,1
78819CG000,ABDECKUNG,0.094,0.255,nissan,2579.65,1
78836AG00A,FEDER,0.006,0.015,nissan,687.75,1
78836ET00A,FEDER,0.008,0.021,nissan,429.94,1
78852CG000,ABDECKUNG,0.201,8.0,nissan,4367.02,1
78868CG000,KLAMMER,0.001,0.003,nissan,257.81,1
78872W2800,ZIERLEISTE,0.143,0.65,nissan,2273.9,1
7887350Y00,ZIERLEISTE,0.011,0.05,nissan,580.85,1
791105Y000,HECKBLECH,4.015,14.6,nissan,36054.61,1
7975450Y05,ZIERLEISTE,0.011,0.05,nissan,1043.02,1
7976241L00,ZIERLEISTE,0.055,0.15,nissan,1270.18,1
802820E700,ZIERLEISTE,0.11,0.5,nissan,4347.37,1
8028286E00,ZIERLEISTE,0.121,0.55,nissan,3116.49,1
8028540U00,ZIERLEISTE,0.099,0.45,nissan,2464.11,1
8029001G00,ABDECKUNG,0.055,0.15,nissan,3444.25,1
8029301G01,ABDECKUNG,0.033,0.15,nissan,1658.46,1
803000W200,SEITENSCHEIBE,3.905,12.0,nissan,33130.69,1
8030101N00,SEITENSCHEIBE,4.631,12.0,nissan,10755.62,1
8033001L00,FUEHRUNG,0.385,1.05,nissan,4528.15,1
803302S40A,FUEHRUNG,0.839,2.289,nissan,9013.06,1
803307F000,FUEHRUNG,0.946,2.58,nissan,8548.54,1
8033101G61,FUEHRUNG,0.833,2.271,nissan,15981.74,1
803311LA1A,FUEHRUNG,0.583,1.59,nissan,15702.71,1
803312S40A,FUEHRUNG,0.84,2.292,nissan,9012.28,1
8043099G00,FANGBAND,0.143,0.39,nissan,4459.76,1
80595N1600,KNOPF,0.003,0.009,nissan,1032.02,1
8059801S13,BLENDE,0.008,0.021,nissan,288.46,1
80654CC010,DICHTUNG,0.003,0.009,nissan,727.05,1
806832Y000,GRIFFMULDE,0.037,0.102,nissan,844.16,1
806842Y000,GRIFFMULDE,0.028,0.125,nissan,795.43,1
808120M000,FOLIE,0.003,0.009,nissan,936.91,1
808200E760,ZIERLEISTE,0.253,1.15,nissan,6105.65,1
808204CL0A,ZIERLEISTE,0.462,2.1,nissan,4866.91,1
8082140U00,ZIERLEISTE,0.231,15.0,nissan,10701.39,1
80821JA01A,ZIERLEISTE,0.275,1.25,nissan,5098.0,1
8082351N10,DICHTGUMMI,0.209,1.9,nissan,2416.16,1
8083001N00,DICHTGUMMI,0.33,0.9,nissan,5259.91,1
8083023A00,DICHTGUMMI,0.33,0.9,nissan,4293.13,1
80830EQ00A,DICHTGUMMI,0.38,1.035,nissan,6410.62,1
80830W1010,DICHTGUMMI,0.33,0.9,nissan,6279.35,1
8083140U01,DICHTGUMMI,0.376,1.026,nissan,7712.23,1
80831VK900,DICHTGUMMI,0.44,1.2,nissan,6318.65,1
8083417N00,DICHTGUMMI,0.11,0.3,nissan,2714.06,1
8083426J10,DICHTGUMMI,0.22,0.6,nissan,4041.61,1
8083440U00,DICHTGUMMI,0.282,0.768,nissan,1584.58,1
8083526J10,DICHTGUMMI,0.22,0.6,nissan,4041.61,1
808353JA0B,DICHTGUMMI,0.275,0.75,nissan,6875.14,1
8083840U00,DICHTGUMMI,0.067,0.183,nissan,4106.85,1
8084001L01,ZIERLEISTE,0.242,0.66,nissan,5648.2,1
80850CA00A,KLAMMER,0.002,0.006,nissan,343.48,1
80866W5001,KLAMMER,0.001,0.003,nissan,140.69,1
808701HA2A,ZIERLEISTE,0.209,0.95,nissan,3512.63,1
8087085E11,ZIERLEISTE,0.539,2.45,nissan,8337.89,1
8087208L70,ZIERLEISTE,0.704,1.92,nissan,6333.59,1
80940VB011,ARMLEHNE,0.253,1.15,nissan,4725.43,1
8097001B00,ROSETTE,0.001,0.003,nissan,101.39,1
80970W5010,ROSETTE,0.002,0.006,nissan,602.08,1
822622W300,SEITENSCHEIBE,0.99,15.0,nissan,7966.11,1
822630W000,SEITENSCHEIBE,1.134,12.0,nissan,3462.33,1
822632W300,SEITENSCHEIBE,0.99,12.0,nissan,7896.16,1
8227240U00,DICHTGUMMI,0.363,0.99,nissan,3074.05,1
822730W000,DICHTGUMMI,0.438,1.194,nissan,3331.85,1
822D31LA0A,VERKLEIDUNG,0.502,2.28,nissan,4851.19,1
82300C6660,SEITENSCHEIBE,3.685,12.0,nissan,7048.85,1
82300CG81A,SCHEIBE,3.003,12.0,nissan,21978.92,1
823013W000,SEITENSCHEIBE,2.75,12.0,nissan,10280.88,1
82301C6600,SEITENSCHEIBE,3.85,15.0,nissan,7048.85,1
82301CA00A,SEITENSCHEIBE,3.443,12.0,nissan,13869.76,1
82301VB00A,SEITENSCHEIBE,2.761,12.0,nissan,11879.6,1
823300M000,DICHTGUMMI,0.539,1.47,nissan,5383.31,1
8233020G01,DICHTGUMMI,0.616,1.68,nissan,20162.47,1
823307F600,FUEHRUNG,0.759,2.07,nissan,11056.66,1
823312S712,DICHTGUMMI,0.86,2.346,nissan,8920.31,1
