oem_field,name_field,weight_field,volume_field,brend_field
393502M400,"SENSOR ASSY, CRANKSHAFT POSITION",0.021,0.057,hyundai / kia
3SF79AQ000,"FILTER ASSY, AIR ELEMENT",0.198,0.0,hyundai / kia
4110002010,"DISC, FRICTION  A/T",0.883,0.0,hyundai / kia
4110002702,"DISC, FRICTION  A/T",1.264,0.0,hyundai / kia
4110023035,CLUTCH FRICTION DISC,1.537,0.0,hyundai / kia
4110023138,"DISC, FRICTION  A/T",1.53,0.0,hyundai / kia
4110039400,"DISC, FRICTION  A/T",1.817,0.0,hyundai / kia
4110048700,"DISC ASSY, CLUTCH FRICTION",2.125,0.0,hyundai / kia
411004D030,"DISC ASSY, CLUTCH FRICTION",2.168,0.0,hyundai / kia
4130002702,"DISC ASSY, CLUTCH FRICTION",3.979,0.0,hyundai / kia
4130023136,"DISC ASSY, CLUTCH FRICTION",4.118,0.0,hyundai / kia
4130023138,"DISC ASSY, CLUTCH FRICTION",4.116,0.0,hyundai / kia
4130024520,"DISC, FRICTION  A/T",5.65,0.0,hyundai / kia
4130036020,"DISC ASSY, CLUTCH FRICTION",2.97,0.0,hyundai / kia
4130048700,"DISC ASSY, CLUTCH FRICTION",7.783,0.0,hyundai / kia
414116A000,"BEARING, HUB",0.469,0.0,hyundai / kia
4141173000,"BEARING, GEARBOX",0.584,0.0,hyundai / kia
4141249670,"BEARING, GEARBOX",0.238,0.0,hyundai / kia
4142045001,"BEARING, GEARBOX",0.462,0.0,hyundai / kia
4142124360,"CYLINDER, CLUTCH RELEASE ",0.567,0.0,hyundai / kia
4142132000,"BEARING, GEARBOX",0.187,0.0,hyundai / kia
4142139000,"BEARING, GEARBOX",0.187,0.0,hyundai / kia
4142139275,"BEARING, GEARBOX",0.187,0.0,hyundai / kia
4142639260,"BUSHING, METAL ",0.098,0.0,hyundai / kia
4143022652,"FORK ASSY, CLUTCH RELEASE",0.297,0.0,hyundai / kia
4143139260,"RETAINER, FORK ASSY CLUTCH RELEASE",0.603,0.0,hyundai / kia
4143339260,"LEVER ASSY, CLUTCH RELEASE",0.145,0.0,hyundai / kia
4145045001,"FORK ASSY, CLUTCH RELEASE",0.512,0.0,hyundai / kia
414702D011,"MOTOR ASSY, BLOWER",5.194,14.166,hyundai / kia
416052B120,"CYLINDER, CLUTCH MASTER ",0.557,0.0,hyundai / kia
416052H000,"CYLINDER, CLUTCH MASTER ",0.496,0.0,hyundai / kia
416101D100,"CYLINDER, CLUTCH MASTER ",0.598,0.0,hyundai / kia
416101R100,"CYLINDER, CLUTCH MASTER ",0.547,0.0,hyundai / kia
4161022060,"CYLINDER, CLUTCH RELEASE ",0.426,0.0,hyundai / kia
4163122060,FERROUS PIPE,0.069,15.0,hyundai / kia
416400U100DS,"HOSE ASSY, WINDSHIELD WASHER",0.078,0.355,hyundai / kia
416502E070,"CYLINDER, CLUTCH RELEASE ",0.451,0.0,hyundai / kia
417008A210,BRAKE BOOSTER ASSY,8.36,0.0,hyundai / kia
4171023005,"CYLINDER, CLUTCH RELEASE ",0.235,0.0,hyundai / kia
4171039A00,"REPAIR KIT, BRAKE MASTER",0.036,0.0,hyundai / kia
4262039200,"SENSOR ASSY, SPEED",0.037,0.102,hyundai / kia
4262139200,"SENSOR ASSY, SPEED",0.037,0.102,hyundai / kia
4270023000,SWITCH ASSY,0.135,0.615,hyundai / kia
4270023010,RELAY,0.145,0.0,hyundai / kia
4270026700,SWITCH ASSY,0.189,0.86,hyundai / kia
427002H000,SWITCH ASSY,0.185,0.84,hyundai / kia
427003B010,"SWITCH ASSY, NEUTRAL START",0.165,0.45,hyundai / kia
4311373010,SEAL RING,0.02,0.0,hyundai / kia
4311928080,SEAL RING,0.053,0.0,hyundai / kia
4311939070,SEAL RING,0.057,0.0,hyundai / kia
4311939080,SEAL RING,0.056,0.0,hyundai / kia
4319569000,"WASHER, METAL",0.003,0.0,hyundai / kia
4322837040,"BEARING, TAPERED",0.432,0.0,hyundai / kia
4332202510,"CARRIER ASSY, DIFFERENTIAL",1.94,0.0,hyundai / kia
4332937040,"BEARING, TAPERED",0.359,0.0,hyundai / kia
4337102000,"RING, SNAP TYPE METAL",0.006,0.0,hyundai / kia
4337402504,"RING SET, SYNCHRONIZER",0.057,0.156,hyundai / kia
4337425470,"RING SET, SYNCHRONIZER",0.116,0.315,hyundai / kia
4362423550,"PINION ASSY, SPEEDOMETER",0.069,0.0,hyundai / kia
4362436000,"PINION ASSY, SPEEDOMETER",0.059,0.0,hyundai / kia
436244D010,"PINION ASSY, SPEEDOMETER",0.058,0.0,hyundai / kia
437202C000,"LEVER ASSY, SHIFT",0.449,0.0,hyundai / kia
4373021010,INSULATOR ASSY,0.319,0.0,hyundai / kia
4376136000,"BUSHING, PLASTIC",0.004,0.0,hyundai / kia
437941D100,"CABLE ASSY, PARKING BRAKE",0.902,0.0,hyundai / kia
437941W100,"CABLE ASSY, PARKING BRAKE",1.012,0.0,hyundai / kia
437941Y000,"CABLE ASSY, ACCELERATOR",0.99,0.0,hyundai / kia
4521623600,"BODY PANNEL, BRACKET ASSY",0.976,0.0,hyundai / kia
4521723601,"BRACKET, REINFORCEMENT",0.099,0.0,hyundai / kia
452284C000,GASKET RUBBER SEAL,0.108,0.294,hyundai / kia
4524526210,SEAL RING,0.041,0.0,hyundai / kia
452453B200,SEAL RING,0.053,0.0,hyundai / kia
452453B700,SEAL RING,0.05,0.0,hyundai / kia
452754A010,SEAL RING,0.026,0.0,hyundai / kia
4528023001,OIL PAN ASSY,1.304,0.0,hyundai / kia
4528026101,OIL PAN ASSY,0.882,0.0,hyundai / kia
4528026600,"OIL PAN, GEARBOX",0.948,0.0,hyundai / kia
452802F000,"COVER ASSY, GEARBOX",0.85,0.0,hyundai / kia
452802F010,"OIL PAN, GEARBOX",0.824,0.0,hyundai / kia
452843B010,"BOLT, METAL",0.009,0.0,hyundai / kia
4532339000,GASKET RUBBER SEAL,0.001,0.003,hyundai / kia
456143B001,"SHIM KIT, BRAKE DISC",0.249,0.0,hyundai / kia
4569122610,SWITCH ASSY,0.094,0.425,hyundai / kia
4573833700,"FILTER ASSY, GEARBOX",0.127,0.0,hyundai / kia
458223B250,"CARRIER ASSY, DIFFERENTIAL",3.411,0.0,hyundai / kia
458223B450,"CARRIER ASSY, DIFFERENTIAL",3.439,0.0,hyundai / kia
458303B650FFF,DIFFERENTIAL ASSY,6.388,0.0,hyundai / kia
458393B050,"BEARING, ROLLER",0.475,0.0,hyundai / kia
458403B050,SEAL RING,0.011,0.0,hyundai / kia
458403B650,SEAL RING,0.011,0.0,hyundai / kia
4595628010,SWITCH ASSY,0.171,0.775,hyundai / kia
461003B030,OIL PUMP ASSY,4.364,0.0,hyundai / kia
463072F000,"SWITCH ASSY, IGNITION",0.305,0.0,hyundai / kia
463083A050,WIRE,0.16,0.0,hyundai / kia
463133B665,"VALVE ASSY, SOLENOID ",0.132,0.0,hyundai / kia
463134E701,"VALVE ASSY, SOLENOID ",0.253,0.0,hyundai / kia
4632122050,"FILTER ASSY, GEARBOX",0.311,0.0,hyundai / kia
4632122731,"FILTER ASSY, GEARBOX",0.305,0.0,hyundai / kia
4632123000,"FILTER ASSY, GEARBOX",0.22,0.0,hyundai / kia
4632123001,"FILTER ASSY, GEARBOX",0.215,0.0,hyundai / kia
4632126000,"FILTER ASSY, CABIN AIR",0.216,0.0,hyundai / kia
463212Z010,"FILTER ASSY, GEARBOX",0.226,0.0,hyundai / kia
4632139010,"FILTER ASSY, GEARBOX",0.393,0.0,hyundai / kia
463213B000,"FILTER ASSY, GEARBOX",0.36,0.0,hyundai / kia
467201M200CR,"KNOB ASSY, SHIFT LEVER",0.15,0.0,hyundai / kia
467202B200WK,"KNOB ASSY, SHIFT LEVER",0.163,0.0,hyundai / kia
467601G100,"CABLE ASSY, TRANSMISSION CONTROL SHIFT",0.935,0.0,hyundai / kia
4735039010,SEAL RING,0.036,0.0,hyundai / kia
4735039300,SEAL RING,0.043,0.0,hyundai / kia
4735139010,SEAL RING,0.033,0.0,hyundai / kia
473513B200,SEAL RING,0.041,0.0,hyundai / kia
4735239010,SEAL RING,0.019,0.0,hyundai / kia
4735239300,SEAL RING,0.022,0.0,hyundai / kia
47354H1010,"SENSOR ASSY, SPEED",0.076,0.207,hyundai / kia
4745239000,SEAL RING,0.032,0.0,hyundai / kia
4746539000,"BEARING, ROLLER",0.442,0.0,hyundai / kia
478003B520,"MOTOR ASSY, DIFFERENTIAL LOCK",10.288,0.0,hyundai / kia
4785039200FFF,"BRACKET, REINFORCEMENT",0.937,0.0,hyundai / kia
4814802230,"FILTER ASSY, GEARBOX",0.37,0.0,hyundai / kia
481972H000,"FILTER ASSY, GEARBOX",0.048,0.0,hyundai / kia
495003F750,DRIVE SHAFT ASSY,9.151,0.0,hyundai / kia
495011F400,DRIVE SHAFT ASSY,8.542,0.0,hyundai / kia
495012G501,"JOINT ASSY, DRIVE SHAFT",0.121,0.0,hyundai / kia
495014D001,DRIVE SHAFT ASSY,9.197,0.0,hyundai / kia
4950529A00,"JOINT ASSY, DRIVE SHAFT",2.077,0.0,hyundai / kia
4950628B01,"DUST BOOT, KIT AXLE JOINT",0.319,0.0,hyundai / kia
4950924A01,"DUST BOOT, KIT AXLE JOINT",0.545,0.0,hyundai / kia
4950928A01,"DUST BOOT, KIT",0.506,0.0,hyundai / kia
49542D7180,"DUST BOOT, KIT",0.427,0.0,hyundai / kia
4954921000,"WASHER, METAL",0.05,0.0,hyundai / kia
495602S050,"SHAFT ASSY, STEERING INTERMEDIATE",4.797,0.0,hyundai / kia
495602S250,"SHAFT ASSY, STEERING INTERMEDIATE",4.891,0.0,hyundai / kia
495602S250FFF,DRIVE SHAFT ASSY,4.972,0.0,hyundai / kia
495602S350,"SHAFT ASSY, STEERING INTERMEDIATE",4.783,0.0,hyundai / kia
495602S650,"SHAFT ASSY, STEERING INTERMEDIATE",5.676,0.0,hyundai / kia
495752E000,"BEARING, PROPELLER SHAFT",1.339,0.0,hyundai / kia
495752P000,"BEARING, PROPELLER SHAFT",1.381,0.0,hyundai / kia
49580G8000,"JOINT ASSY, DRIVE SHAFT",1.65,0.0,hyundai / kia
495922Y660,"JOINT ASSY, DRIVE SHAFT",2.698,0.0,hyundai / kia
495972Y200,"JOINT ASSY, DRIVE SHAFT",2.737,0.0,hyundai / kia
497105A020,"BEARING, PROPELLER SHAFT",2.2,0.0,hyundai / kia
5170145210,"BEARING, HUB",0.953,0.0,hyundai / kia
5170345210,BEARING,0.484,0.0,hyundai / kia
517122K100,BRAKE ROTOR,3.3,0.0,hyundai / kia
517122T000,BRAKE ROTOR,10.651,0.0,hyundai / kia
517122Y000,BRAKE ROTOR,9.672,0.0,hyundai / kia
517123K110FFF,BRAKE ROTOR,9.747,0.0,hyundai / kia
5171605510,"SPINDLE ASSY, STEERING KNUCKLE",3.505,0.0,hyundai / kia
5172002000,"BEARING, HUB",0.627,0.0,hyundai / kia
517200Q000,"BEARING, HUB",0.883,0.0,hyundai / kia
517200U000,"BEARING, HUB",0.673,0.0,hyundai / kia
517201W000,"BEARING, HUB",0.681,0.0,hyundai / kia
517202D100,"BEARING, HUB",0.715,0.0,hyundai / kia
517202H000,"BEARING, HUB",0.88,0.0,hyundai / kia
517202K000,"BEARING, HUB",0.831,0.0,hyundai / kia
5172038000,"BEARING, HUB",0.609,0.0,hyundai / kia
5172038110,"BEARING, HUB",0.99,0.0,hyundai / kia
517203S100,"BEARING, HUB",1.001,0.0,hyundai / kia
51720G6000,"BEARING, HUB",0.715,0.0,hyundai / kia
5173011100,BEARING,0.27,0.0,hyundai / kia
517502B010,WHEEL HUB ASSY,4.18,0.0,hyundai / kia
517502B010FFF,"BEARING, HUB",4.203,0.0,hyundai / kia
517503J000,WHEEL HUB ASSY,4.168,0.0,hyundai / kia
517503K000,WHEEL HUB ASSY,2.356,0.0,hyundai / kia
517504D000,WHEEL HUB ASSY,4.928,0.0,hyundai / kia
517504H050,WHEEL HUB ASSY,3.675,0.0,hyundai / kia
51750A9000,WHEEL HUB ASSY,4.22,0.0,hyundai / kia
51750C1000,WHEEL HUB ASSY,4.082,0.0,hyundai / kia
51750C5000,WHEEL HUB ASSY,4.412,0.0,hyundai / kia
51750F2000,WHEEL HUB ASSY,3.53,0.0,hyundai / kia
5175692101,"NUT, METAL",0.077,0.0,hyundai / kia
517758A101,"BOLT, METAL",0.341,0.0,hyundai / kia
5183044000,SEAL RING,0.026,0.0,hyundai / kia
518304E010,SEAL RING,0.048,0.0,hyundai / kia
5261212100,BEARING,0.27,0.0,hyundai / kia
527004F400,WHEEL HUB ASSY,5.368,0.0,hyundai / kia
52720S1000,WHEEL HUB ASSY,4.663,0.0,hyundai / kia
527302H000,WHEEL HUB ASSY,3.81,0.0,hyundai / kia
527303S200,WHEEL HUB ASSY,3.913,0.0,hyundai / kia
52730C1100,WHEEL HUB ASSY,3.995,0.0,hyundai / kia
52730D3000,WHEEL HUB ASSY,3.751,0.0,hyundai / kia
527500U000,"BEARING, HUB",2.815,0.0,hyundai / kia
52750A9000,WHEEL HUB ASSY,4.399,0.0,hyundai / kia
52750F9100,"BEARING, HUB",2.82,0.0,hyundai / kia
527552G000,"BOLT, WHEEL HUB",0.046,0.0,hyundai / kia
5275547000,"BOLT, WHEEL HUB",0.065,0.0,hyundai / kia
5275587010,"BOLT, METAL",0.004,0.0,hyundai / kia
5275681002,"NUT, METAL",0.066,0.0,hyundai / kia
5281045000,SEAL RING,0.099,0.0,hyundai / kia
5281087100,SEAL RING,0.044,0.0,hyundai / kia
52933C1100,"SENSOR ASSY, TIRE PRESSURE MONITOR",0.045,0.123,hyundai / kia
5295014130,"NUT, METAL",0.04,0.0,hyundai / kia
5295017000,"NUT, METAL",0.068,0.0,hyundai / kia
52950M1000,"NUT, METAL",0.048,0.0,hyundai / kia
529601Y100,"CAP, WHEEL ",0.421,0.0,hyundai / kia
529601Y200,"CAP, WHEEL HUB",0.022,0.0,hyundai / kia
529602T300,"CAP, WHEEL HUB",0.143,0.0,hyundai / kia
529603F600,"CAP, PROTECTION PLASTIC",0.021,0.0,hyundai / kia
52960FD000,"CAP, WHEEL ",0.407,0.0,hyundai / kia
52960J3000,"CAP, WHEEL HUB",0.032,0.0,hyundai / kia
530503C000,SEAL RING,0.084,0.0,hyundai / kia
530683C000,SEAL RING,0.058,0.0,hyundai / kia
5335245010,SEAL RING,0.063,0.0,hyundai / kia
5335287201,SEAL RING,0.237,0.0,hyundai / kia
5335288010,SEAL RING,0.201,0.0,hyundai / kia
5352611080,"WASHER, METAL",0.013,0.0,hyundai / kia
535503E150,SEAL RING,0.029,0.0,hyundai / kia
541485H050,"BUSHING, SUSPENSION ARM",0.234,0.0,hyundai / kia
542203E600,"BOLT, METAL",0.343,0.0,hyundai / kia
542255L000,"BOLT, U SPRING LEAF",0.536,0.0,hyundai / kia
5422962003,"NUT, METAL",0.053,0.0,hyundai / kia
543004E100,SHOCK ABSORBER,1.758,0.0,hyundai / kia
543008A701,SHOCK ABSORBER,6.105,0.0,hyundai / kia
544003M000,"ARM ASSY, SUSPENSION",0.971,0.0,hyundai / kia
544013M000,"ARM ASSY, SUSPENSION",0.985,0.0,hyundai / kia
544053M000,SUSPENTION LINK,0.961,0.0,hyundai / kia
544063M000,SUSPENTION LINK,0.955,0.0,hyundai / kia
54430H1100,"BUSHING, SUSPENSION ARM",0.219,0.0,hyundai / kia
5444038000,"BUSHING, SUSPENSION ARM",0.25,0.0,hyundai / kia
54440H1000,"JOINT ASSY, SUSPENSION",0.623,0.0,hyundai / kia
545000X200,"ARM ASSY, SUSPENSION",3.08,0.0,hyundai / kia
545001R000,"ARM ASSY, SUSPENSION",5.016,0.0,hyundai / kia
545002M000,"ARM ASSY, SUSPENSION",1.711,0.0,hyundai / kia
545002S000,"ARM ASSY, SUSPENSION",5.005,0.0,hyundai / kia
545004H005,"ARM ASSY, SUSPENSION",6.149,0.0,hyundai / kia
54500D3000,"ARM ASSY, SUSPENSION",4.62,0.0,hyundai / kia
54500D7000,"ARM ASSY, SUSPENSION",5.016,0.0,hyundai / kia
545011R000,"ARM ASSY, SUSPENSION",5.016,0.0,hyundai / kia
545012S000,"ARM ASSY, SUSPENSION",5.005,0.0,hyundai / kia
545013S000,"ARM ASSY, SUSPENSION",4.587,0.0,hyundai / kia
545014H005,"ARM ASSY, SUSPENSION",6.149,0.0,hyundai / kia
54501D3000,"ARM ASSY, SUSPENSION",4.62,0.0,hyundai / kia
54501E6100,"ARM ASSY, SUSPENSION",2.926,0.0,hyundai / kia
5450224001,"ARM ASSY, SUSPENSION",1.309,0.0,hyundai / kia
545053M100,SHOCK ABSORBER,3.599,0.0,hyundai / kia
5452244000,"BUSHING, SUSPENSION ARM",0.429,0.0,hyundai / kia
5453007000,"JOINT ASSY, SUSPENSION",0.329,0.0,hyundai / kia
545300U000,"JOINT ASSY, SUSPENSION",0.327,0.0,hyundai / kia
545300X000,JOINT ASSY,0.329,0.0,hyundai / kia
545302B000,"JOINT ASSY, SUSPENSION",0.462,0.0,hyundai / kia
545302S500,"JOINT ASSY, SUSPENSION",0.583,0.0,hyundai / kia
545303J000,"JOINT ASSY, SUSPENSION",1.045,0.0,hyundai / kia
545303S000,"JOINT ASSY, SUSPENSION",0.715,0.0,hyundai / kia
545303S100,"JOINT ASSY, SUSPENSION",0.62,0.0,hyundai / kia
54530F2000,"JOINT ASSY, SUSPENSION",0.638,0.0,hyundai / kia
54530F2100,"JOINT ASSY, SUSPENSION",0.638,0.0,hyundai / kia
545512H000,"BUSHING, SUSPENSION ARM",0.231,0.0,hyundai / kia
545512S000,"BUSHING, SUSPENSION ARM",0.275,0.0,hyundai / kia
545513R000,"BUSHING, SUSPENSION ARM",0.242,0.0,hyundai / kia
545514H000,"BUSHING, SUSPENSION ARM",0.359,0.0,hyundai / kia
54551C5000,"BUSHING, SUSPENSION ARM",0.255,0.0,hyundai / kia
5455522101,"BUSHING, SUSPENSION ARM",0.22,0.0,hyundai / kia
5455622101,"BUSHING, SUSPENSION ARM",0.22,0.0,hyundai / kia
545803E100,"BUSHING, SUSPENSION ARM",0.526,0.0,hyundai / kia
545841G000,"BUSHING, SUSPENSION ARM",0.44,0.0,hyundai / kia
545842E000,"BUSHING, SUSPENSION ARM",0.464,0.0,hyundai / kia
545842K000,"BUSHING, SUSPENSION ARM",0.484,0.0,hyundai / kia
545842S100,"BUSHING, SUSPENSION ARM",0.488,0.0,hyundai / kia
545842T000,"BUSHING, SUSPENSION ARM",0.497,0.0,hyundai / kia
545843X000,"BUSHING, SUSPENSION ARM",0.382,0.0,hyundai / kia
545844L000,"BUSHING, SUSPENSION ARM",0.507,0.0,hyundai / kia
54584C5000,"BUSHING, SUSPENSION ARM",0.468,0.0,hyundai / kia
54584D3000,"BUSHING, SUSPENSION ARM",0.473,0.0,hyundai / kia
5461021010,"INSULATOR, SHOCK ABSORBER",0.708,0.0,hyundai / kia
5461025000,"STOPPER BUSHING, SHOCK ABSORBER",0.899,0.0,hyundai / kia
546102E200,"INSULATOR, SHOCK ABSORBER",1.142,0.0,hyundai / kia
546102G000,"STOPPER BUSHING, SHOCK ABSORBER",1.449,0.0,hyundai / kia
546102P000,"INSULATOR, SHOCK ABSORBER",1.277,0.0,hyundai / kia
546102S000,"INSULATOR, SHOCK ABSORBER",1.223,0.0,hyundai / kia
546102S100,"INSULATOR, SHOCK ABSORBER",1.261,0.0,hyundai / kia
546102T000,"INSULATOR, SHOCK ABSORBER",1.311,0.0,hyundai / kia
546103X200,"INSULATOR, SHOCK ABSORBER",0.998,0.0,hyundai / kia
546104H000,"INSULATOR, SHOCK ABSORBER",1.377,0.0,hyundai / kia
54610A5000,"INSULATOR, SHOCK ABSORBER",0.933,0.0,hyundai / kia
54610C1000,"INSULATOR, SHOCK ABSORBER",1.104,0.0,hyundai / kia
546111J000,"INSULATOR, SHOCK ABSORBER",0.391,0.0,hyundai / kia
546113F300,SHOCK ABSORBER,4.656,0.0,hyundai / kia
546113F700,SHOCK ABSORBER,2.769,0.0,hyundai / kia
54611H5000,"INSULATOR, SHOCK ABSORBER",0.433,0.0,hyundai / kia
546120U000,"BEARING, SUSPENSION SUPPORT",0.015,0.0,hyundai / kia
546121M000,"BEARING, SUSPENSION SUPPORT",0.316,0.0,hyundai / kia
546122C000,"BEARING, SUSPENSION SUPPORT",0.145,0.0,hyundai / kia
546122P000,"BEARING, SUSPENSION SUPPORT",0.244,0.0,hyundai / kia
546123S050,"BEARING, SUSPENSION SUPPORT",0.198,0.0,hyundai / kia
546124D000,"BEARING, SUSPENSION SUPPORT",0.088,0.0,hyundai / kia
54612C1000,"BEARING, ROLLER",0.275,0.0,hyundai / kia
54612C5000,"BEARING, TAPERED",0.398,0.0,hyundai / kia
54615FD000,"BEARING, TAPERED",0.814,0.0,hyundai / kia
546203J000,"SEAT, COIL SPRING",0.705,0.0,hyundai / kia
546213F751,SHOCK ABSORBER,4.843,0.0,hyundai / kia
546232P000,GASKET RUBBER SEAL,0.068,0.186,hyundai / kia
546251H000,"DUST BOOT, SHOCK ABSORBER",0.033,0.0,hyundai / kia
5462622000,"INSULATOR, SHOCK ABSORBER",0.143,0.0,hyundai / kia
546283B500,"DUST BOOT, SHOCK ABSORBER",0.068,0.0,hyundai / kia
546301V101,"SPRING, SUSPENSION",1.819,0.0,hyundai / kia
546332M000,GASKET RUBBER SEAL,0.061,0.165,hyundai / kia
546333A000,GASKET RUBBER SEAL,0.1,0.273,hyundai / kia
546501W031,SHOCK ABSORBER,0.182,0.0,hyundai / kia
546502K000,SHOCK ABSORBER,0.0,0.0,hyundai / kia
546511H500,SHOCK ABSORBER,4.31,0.0,hyundai / kia
5465131601,SHOCK ABSORBER,1.932,0.0,hyundai / kia
546513R130,SHOCK ABSORBER,5.266,0.0,hyundai / kia
546514R010,SHOCK ABSORBER,5.204,0.0,hyundai / kia
546601J100,SHOCK ABSORBER,4.157,0.0,hyundai / kia
546602B200,SHOCK ABSORBER,6.864,0.0,hyundai / kia
54661C5150,SHOCK ABSORBER,6.53,0.0,hyundai / kia
5471643160,"BUSHING, RUBBER",0.009,0.0,hyundai / kia
548100X000,STABILIZER SHAFT ASSY,3.19,0.0,hyundai / kia
548132E100,"BUSHING, STABILIZER",0.075,0.0,hyundai / kia
548132W100,"BUSHING, STABILIZER",0.114,0.0,hyundai / kia
548132Y000,"BUSHING, STABILIZER",0.05,0.0,hyundai / kia
548133K200,"BUSHING, RUBBER",0.083,0.0,hyundai / kia
548133S110,"BUSHING, RUBBER",0.102,0.0,hyundai / kia
548134E400,"BUSHING, STABILIZER",0.048,0.0,hyundai / kia
548300U000,"LINK, STABILIZER",0.503,0.0,hyundai / kia
548300X000,"LINK, STABILIZER",0.314,0.0,hyundai / kia
548301S000,"LINK, STABILIZER",0.455,0.0,hyundai / kia
548302B200,"LINK, STABILIZER",0.473,0.0,hyundai / kia
548302H200,"LINK, STABILIZER",0.397,0.0,hyundai / kia
548302H20XFFF,"LINK, STABILIZER",0.396,0.0,hyundai / kia
548302S500,"LINK, STABILIZER",0.464,0.0,hyundai / kia
548302V000,"LINK, STABILIZER",0.425,0.0,hyundai / kia
548302W000,"LINK, STABILIZER",0.597,0.0,hyundai / kia
548302Y500,"LINK, STABILIZER",0.482,0.0,hyundai / kia
548304H200,"LINK, STABILIZER",0.498,0.0,hyundai / kia
548304L000,"LINK, STABILIZER",0.472,0.0,hyundai / kia
54830C1000,"LINK, STABILIZER",0.564,0.0,hyundai / kia
54830C5000,"LINK, STABILIZER",0.579,0.0,hyundai / kia
54830D7000,"LINK, STABILIZER",0.47,0.0,hyundai / kia
54830F2000,"LINK, STABILIZER",0.457,0.0,hyundai / kia
548404H200,"LINK, STABILIZER",0.455,0.0,hyundai / kia
54840C1000,"LINK, STABILIZER",0.564,0.0,hyundai / kia
549278D000,"VALVE ASSY, POWER STEERING CONTROL",0.634,0.0,hyundai / kia
551182S000,"BUSHING, SUSPENSION ARM",0.182,0.0,hyundai / kia
551182S100,"BUSHING, SUSPENSION ARM",0.2,0.0,hyundai / kia
551182W100,"BUSHING, SUSPENSION ARM",0.238,0.0,hyundai / kia
551304D000,"BUSHING, SUSPENSION ARM",0.244,0.0,hyundai / kia
551382M200,"BUSHING, SUSPENSION ARM",0.227,0.0,hyundai / kia
551382M300,"BUSHING, SUSPENSION ARM",0.22,0.0,hyundai / kia
551601R000,"BUSHING, SUSPENSION ARM",0.54,0.0,hyundai / kia
551603X000,"BUSHING, SUSPENSION ARM",0.695,0.0,hyundai / kia
551613E500,"SEAT, COIL SPRING",0.21,0.0,hyundai / kia
552102E000,"ARM ASSY, SUSPENSION",1.14,0.0,hyundai / kia
552103F000,"ARM ASSY, SUSPENSION",1.44,0.0,hyundai / kia
55210D3050,"ARM ASSY, SUSPENSION",4.524,0.0,hyundai / kia
552152S200,"BUSHING, SUSPENSION ARM",0.273,0.0,hyundai / kia
552152S300,"BUSHING, SUSPENSION ARM",0.275,0.0,hyundai / kia
552162H000,"BUSHING, SUSPENSION ARM",0.295,0.0,hyundai / kia
55220D3050,"ARM ASSY, SUSPENSION",4.747,0.0,hyundai / kia
552502S000,SUSPENTION LINK,0.737,0.0,hyundai / kia
5525039800,"END ASSY, STEERING RACK",0.983,0.0,hyundai / kia
552503J010,"END ASSY, STEERING RACK",1.157,0.0,hyundai / kia
55250D3050,"LINK, STABILIZER",0.779,0.0,hyundai / kia
552532W100,"BUSHING, SUSPENSION ARM",0.18,0.0,hyundai / kia
552533W100,"BUSHING, SUSPENSION ARM",0.022,0.0,hyundai / kia
552572P000,"BUSHING, SUSPENSION ARM",0.295,0.0,hyundai / kia
552582P000,"BUSHING, SUSPENSION ARM",0.237,0.0,hyundai / kia
552603K100,"BOLT, METAL",0.187,0.0,hyundai / kia
552603M000,"BOLT, METAL",0.167,0.0,hyundai / kia
552604H050,STOPPER RUBBER,0.263,0.0,hyundai / kia
552742S000,"BODY PANNEL, BRACKET ASSY",0.825,0.0,hyundai / kia
552742S800,"BUSHING, SUSPENSION ARM",0.948,0.0,hyundai / kia
552743W000,"BUSHING, SUSPENSION ARM",0.924,0.0,hyundai / kia
55274D3000,"BODY PANNEL, BRACKET ASSY",0.484,0.0,hyundai / kia
552753W000,"BUSHING, SUSPENSION ARM",0.924,0.0,hyundai / kia
55280H3000,"ARM ASSY, SUSPENSION",2.31,0.0,hyundai / kia
5530081021,SHOCK ABSORBER,7.303,0.0,hyundai / kia
553102B101,SHOCK ABSORBER,1.98,0.0,hyundai / kia
553102D000,"BODY PANNEL, BRACKET ASSY",0.972,0.0,hyundai / kia
553102F000,"INSULATOR, SHOCK ABSORBER",0.956,0.0,hyundai / kia
553102W300,SHOCK ABSORBER,2.269,0.0,hyundai / kia
553111G000FFF,"INSULATOR, SHOCK ABSORBER",0.472,0.0,hyundai / kia
553162G700,"DUST BOOT, SHOCK ABSORBER",0.058,0.0,hyundai / kia
553202F000,"INSULATOR, SHOCK ABSORBER",0.974,0.0,hyundai / kia
553212P100,SHOCK ABSORBER,4.459,0.0,hyundai / kia
55321C5500,SHOCK ABSORBER,5.082,0.0,hyundai / kia
5532407000,"BUSHING, SHOCK ABSORBER",0.033,0.0,hyundai / kia
553301H000,"INSULATOR, SHOCK ABSORBER",0.462,0.0,hyundai / kia
553302H000,"INSULATOR, SHOCK ABSORBER",0.407,0.0,hyundai / kia
553302S150,"INSULATOR, SHOCK ABSORBER",0.682,0.0,hyundai / kia
5533038601,"BRACKET, REINFORCEMENT",2.75,0.0,hyundai / kia
553422P000,"BUSHING, SUSPENSION ARM",0.191,0.0,hyundai / kia
553483W000,"STOPPER BUSHING, SHOCK ABSORBER",0.55,0.0,hyundai / kia
