oem_field,brend_field,name_field,weight_field,volume_field
0K30D22540,hyundai / kia,"JOINT ASSY, DRIVE SHAFT",0.446,0.0
0K30D63900A,hyundai / kia,"GLASS ASSY, WINDSHIELD ",14.85,40.0
0K30E10155,hyundai / kia,GASKET RUBBER SEAL,0.007,0.018
0K30E10281,hyundai / kia,GASKET RUBBER SEAL,0.011,0.03
0K30E12111,hyundai / kia,"VALVE, EXHAUST",0.042,0.0
0K30E13460C,hyundai / kia,RUBBER TUBE,0.044,0.2
0K30E16410,hyundai / kia,"DISC ASSY, CLUTCH FRICTION",4.434,0.0
0K32A20490,hyundai / kia,"FILTER ASSY, FUEL PUMP",0.452,0.0
0K32A32684A,hyundai / kia,RUBBER TUBE,0.02,0.09
0K33C51150,hyundai / kia,"LAMP ASSY, REAR",1.595,5.0
0K34A509L0,hyundai / kia,"MOULDING ASSY, PLASTIC",0.11,0.0
0K34A68401,hyundai / kia,"NET ASSY, LUGGAGE COMPARTMENT",0.001,0.0
0K34D37170,hyundai / kia,"CAP, WHEEL ",0.506,0.0
0K3Y011SDX,hyundai / kia,CRANKSHAFT BEARINGS,0.066,0.0
0K40C59560A,hyundai / kia,"HANDLE, PLASTIC",2.31,0.0
0K40D33698,hyundai / kia,"BOLT, METAL",0.002,0.0
0K41024745,hyundai / kia,RELAY,1.518,0.0
0K41026132A,hyundai / kia,WHEEL HUB ASSY,0.094,0.0
0K41167350A,hyundai / kia,RELAY,0.884,0.0
0K41310136A,hyundai / kia,"BOLT, METAL",0.011,0.0
0K41717621,hyundai / kia,PINION ASSY,0.477,0.0
0K42A26157,hyundai / kia,BRAKE DRUM,0.011,0.0
0K43A16460,hyundai / kia,"DISC, FRICTION  A/T",1.705,0.0
0K43A17725,hyundai / kia,PINION ASSY,0.074,0.0
0K43A32450,hyundai / kia,"END ASSY, STEERING RACK",0.706,0.0
0K43A32510,hyundai / kia,"END ASSY, STEERING RACK",0.761,0.0
0K43F50060XX,hyundai / kia,"EXTENSION ASSY, BUMPER",0.451,0.0
0K45A49030,hyundai / kia,"PLUG, BODY PANEL",0.009,0.024
0K47A11201,hyundai / kia,PISTON CONNECTING ROD,0.495,0.0
0K48010104B,hyundai / kia,GASKET RUBBER SEAL,0.033,0.09
0K4H125321,hyundai / kia,"BEARING, PROPELLER SHAFT",0.352,0.0
0K4Y011SHX,hyundai / kia,CRANKSHAFT BEARINGS,0.601,0.0
0K4Y011SK0,hyundai / kia,CRANKSHAFT BEARINGS,0.095,0.0
0K4Y111SC0,hyundai / kia,PISTON ASSY,0.234,0.0
0K52A13490A,hyundai / kia,FUEL PUMP ASSY,0.129,0.0
0K53A32123,hyundai / kia,"SHAFT ASSY, STEERING",0.064,0.0
0K53A50070,hyundai / kia,"BUMPER, SUPPORT MOUNT  ",3.3,0.0
0K53A506L1XX,hyundai / kia,"BUMPER, SUPPORT MOUNT  ",0.33,0.0
0K53A50895,hyundai / kia,"BUMPER, SUPPORT MOUNT  ",0.018,0.0
0K53A56190B,hyundai / kia,"BODY PANNEL, SUPPORT ASSY",0.77,0.0
0K53A58332GW,hyundai / kia,GASKET SEAL,0.002,0.0
0K53A59410CXX,hyundai / kia,"HANDLE, PLASTIC",0.254,0.0
0K53A72523,hyundai / kia,"HANDLE, PLASTIC",0.022,0.0
0K53A73330AGE,hyundai / kia,"HANDLE, PLASTIC",0.495,0.0
0K53Z62620A,hyundai / kia,"HINGE ASSY, BONNET",0.484,0.0
0K53Z73330BGE,hyundai / kia,"HANDLE, PLASTIC",0.11,0.0
0K54A59511,hyundai / kia,"GLASS ASSY, DOOR",2.75,12.0
0K55110155,hyundai / kia,"GAGE ASSY, OIL LEVEL",0.002,0.0
0K55217198,hyundai / kia,PINION ASSY,0.003,0.0
0K55217209,hyundai / kia,PINION ASSY,0.003,0.0
0K55217235,hyundai / kia,PINION ASSY,0.044,0.0
0K55217265B,hyundai / kia,PINION ASSY,0.092,0.0
0K55217290,hyundai / kia,PINION ASSY,0.406,0.0
0K55217308B,hyundai / kia,PINION ASSY,0.429,0.0
0K55226111B,hyundai / kia,"ADJUSTER ASSY, DRUM BRAKE",2.09,0.0
0K55226139,hyundai / kia,"ADJUSTER ASSY, DRUM BRAKE",0.028,0.0
0K55232125,hyundai / kia,STEERING PUMP,0.088,0.0
0K5523212X,hyundai / kia,STEERING PUMP,0.165,0.0
0K55232136,hyundai / kia,STEERING PUMP,0.006,0.0
0K55232180,hyundai / kia,STEERING PUMP,0.044,0.0
0K55232182,hyundai / kia,STEERING PUMP,0.001,0.0
0K55232250B,hyundai / kia,STEERING PUMP,0.348,0.0
0K55261B33D,hyundai / kia,RUBBER TUBE,0.175,0.795
0K55261D02,hyundai / kia,RUBBER TUBE,0.017,0.075
0K55261L11,hyundai / kia,RUBBER TUBE,0.001,0.005
0K55262410B,hyundai / kia,LOCK ASSY,0.166,0.0
0K5526251XA,hyundai / kia,LOCK ASSY,0.184,0.0
0K55267740,hyundai / kia,"MOTOR ASSY, PUMP WINDSHIELD WASHER",0.022,0.0
0K55334900C,hyundai / kia,SHOCK ABSORBER,3.04,0.0
0K55350710C,hyundai / kia,"HANDLE, PLASTIC",1.051,0.0
0K55363402,hyundai / kia,"BRACKET, PLASTIC",0.048,0.132
0K55363511B,hyundai / kia,"BRACKET, PLASTIC",3.658,9.975
0K55372510F,hyundai / kia,"HANDLE ASSY, DOOR METAL",5.335,0.0
0K55422530,hyundai / kia,"JOINT ASSY, DRIVE SHAFT",0.6,0.0
0K55815186D,hyundai / kia,"RADIATOR ASSY, ENGINE COOLANT",0.139,0.0
0K55815191E,hyundai / kia,"RADIATOR ASSY, ENGINE COOLANT",0.325,0.0
0K55818110,hyundai / kia,"SENSOR ASSY, OXYGEN",0.055,0.0
0K55822540,hyundai / kia,"JOINT ASSY, DRIVE SHAFT",0.094,0.0
0K55832471A,hyundai / kia,"HOSE ASSY, WINDSHIELD WASHER",0.073,0.33
0K55861211P,hyundai / kia,RUBBER TUBE,1.667,7.575
0K55861462J,hyundai / kia,RUBBER TUBE,0.424,1.925
0K55861B12D,hyundai / kia,RUBBER TUBE,0.055,0.25
0K55A34156,hyundai / kia,STABILIZER SHAFT ASSY,0.029,0.0
0K55A67510A,hyundai / kia,"NOZZLE ASSY, WINDSHIELD WASHER",0.004,0.0
0K55C16410B,hyundai / kia,"DISC, FRICTION  A/T",6.16,0.0
0K55C16460B,hyundai / kia,"DISC, FRICTION  A/T",1.76,0.0
0K55C17201C,hyundai / kia,"FORK ASSY, CLUTCH RELEASE",2.668,0.0
0K55C25700B,hyundai / kia,"JOINT ASSY, DRIVE SHAFT",3.795,0.0
